,Name,Price,Recorded_On,Search_Word,Link,ISBN-10,ISBN-13,Language,Paperback,Publisher,File Size,Print Length,Publication Date,Simultaneous Device Usage,Failed SS,Series,Hardcover,Page Numbers Source ISBN
66,Big-Data-Science-Analytics-Hands,$60.00,2019-02-02,Data Science,https://www.amazon.com/Big-Data-Science-Analytics-Hands/dp/0996025537,0996025537,978-0996025539,English,542 pages,"VPT; 1 edition (April 15, 2016)",,,,,,,,
67,Big-Data-Science-Analytics-Hands,$68.84,2019-02-02,Data Science,https://www.amazon.com/Big-Data-Science-Analytics-Hands/dp/B01K95TSKI,,,,,,,,,,True,,,
68,Torture-Data-Funny-Geek-Coffee,$13.50,2019-02-02,Data Science,https://www.amazon.com/Torture-Data-Funny-Geek-Coffee/dp/B06XJCNP4X,,,,,,,,,,True,,,
69,Computer-Age-Statistical-Inference-Mathematical,$49.93,2019-02-02,Data Science,https://www.amazon.com/Computer-Age-Statistical-Inference-Mathematical/dp/1107149894,1107149894,,English,,"Cambridge University Press; 1 edition (July 21, 2016)",,,,,,Institute of Mathematical Statistics Monographs (Book 5)<br/>,495 pages,
70,Computer-Age-Statistical-Inference-Mathematical-ebook,$36.49,2019-02-02,Data Science,https://www.amazon.com/Computer-Age-Statistical-Inference-Mathematical-ebook/dp/B01L27MR64,,,,,"Cambridge University Press; 1 edition (July 21, 2016)",11310 KB,496 pages,"August 30, 2016","Up to 4 simultaneous devices, per publisher limits",,,,
71,Fundamentals-Machine-Learning-Predictive-Analytics,$54.14,2019-02-02,Data Science,https://www.amazon.com/Fundamentals-Machine-Learning-Predictive-Analytics/dp/0262029448,0262029448,,English,,"The MIT Press; 1 edition (July 24, 2015)",,,,,,The MIT Press<br/>,624 pages,
72,Fundamentals-Machine-Learning-Predictive-Analytics-ebook,$65.51,2019-02-02,Data Science,https://www.amazon.com/Fundamentals-Machine-Learning-Predictive-Analytics-ebook/dp/B013FHC8CM,,,,,,,,,,True,,,
73,Hands-Machine-Learning-Python-Applications-ebook,$9.99,2019-02-02,Data Science,https://www.amazon.com/Hands-Machine-Learning-Python-Applications-ebook/dp/B07G4M16JF,,,,,"AI Sciences LLC; 1 edition (August 1, 2018)",8030 KB,225 pages,"August 1, 2018",Unlimited,,,,
74,Hands-Machine-Learning-Python-Anderson,$15.95,2019-02-02,Data Science,https://www.amazon.com/Hands-Machine-Learning-Python-Anderson/dp/1724731963,1724731963,978-1724731968,English,223 pages,"CreateSpace Independent Publishing Platform; 1 edition (August 6, 2018)",,,,,,,,
75,Programming-Skills-Data-Science-Addison-Wesley,$39.28,2019-02-02,Data Science,https://www.amazon.com/Programming-Skills-Data-Science-Addison-Wesley/dp/0135133106,0135133106,,English,384 pages,"Addison-Wesley Professional; 1 edition (December 8, 2018)",,,,,,Addison-Wesley Data &amp; Analytics Series<br/>,,
76,Programming-Skills-Data-Science-Addison-Wesley-ebook,$31.19,2019-02-02,Data Science,https://www.amazon.com/Programming-Skills-Data-Science-Addison-Wesley-ebook/dp/B07KMDCHT2,,,,,"Addison-Wesley Professional; 1 edition (November 23, 2018)",77182 KB,384 pages,,"Up to 5 simultaneous devices, per publisher limits",,,,0135133106
77,Python-Data-Science-Dummies-Computer,$18.38,2019-02-02,Data Science,https://www.amazon.com/Python-Data-Science-Dummies-Computer/dp/1118844181,1118844181,,English,432 pages,"For Dummies; 1 edition (July 7, 2015)",,,,,,For Dummies (Computer/Tech)<br/>,,
78,Python-Data-Science-Dummies-Computer-ebook,$15.99,2019-02-02,Data Science,https://www.amazon.com/Python-Data-Science-Dummies-Computer-ebook/dp/B00TWK3RHW,,,,,,,,,,True,,,
79,Data-Science-Visual-Illustrations-Examples-ebook,$9.99,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Visual-Illustrations-Examples-ebook/dp/B07KNBFGFZ,,,,,,,,,,True,,,
80,Data-Science-Visual-Illustrations-Examples,$19.50,2019-02-02,Data Science,https://www.amazon.com/Data-Science-Visual-Illustrations-Examples/dp/1729017452,1729017452,978-1729017456,English,266 pages,"Independently published (November 17, 2018)",,,,,,,,
81,Big-Data-Now-Current-Perspectives-ebook,$0.00,2019-02-02,Data Science,https://www.amazon.com/Big-Data-Now-Current-Perspectives-ebook/dp/B005KDPILI,,,,,"O'Reilly Media; 1 edition (August 30, 2011)",3283 KB,149 pages,"August 30, 2011",Unlimited,,,,
82,Machine-Learning-Algorithms-algorithms-learning,$49.99,2019-02-02,Data Science,https://www.amazon.com/Machine-Learning-Algorithms-algorithms-learning/dp/1789347998,1789347998,978-1789347999,English,522 pages,"Packt Publishing - ebooks Account; 2nd Revised edition edition (August 30, 2018)",,,,,,,,
83,Machine-Learning-Algorithms-algorithms-learning-ebook,$31.19,2019-02-02,Data Science,https://www.amazon.com/Machine-Learning-Algorithms-algorithms-learning-ebook/dp/B07CSLQGNC,,,,,,,,,,True,,,
84,Big-Data-Now-Current-Perspectives-ebook,$0.00,2019-02-02,Data Science,https://www.amazon.com/Big-Data-Now-Current-Perspectives-ebook/dp/B005KDPILI,,,,,"O'Reilly Media; 1 edition (August 30, 2011)",3283 KB,149 pages,"August 30, 2011",Unlimited,,,,
85,Machine-Learning-Algorithms-algorithms-learning,$49.99,2019-02-02,Data Science,https://www.amazon.com/Machine-Learning-Algorithms-algorithms-learning/dp/1789347998,1789347998,978-1789347999,English,522 pages,"Packt Publishing - ebooks Account; 2nd Revised edition edition (August 30, 2018)",,,,,,,,
86,Machine-Learning-Algorithms-algorithms-learning-ebook,$31.19,2019-02-02,Data Science,https://www.amazon.com/Machine-Learning-Algorithms-algorithms-learning-ebook/dp/B07CSLQGNC,,,,,,,,,,True,,,
87,Two-Types-Science-T-Shirt-Heather,$14.99,2019-02-02,Data Science,https://www.amazon.com/Two-Types-Science-T-Shirt-Heather/dp/B0763W8MR1,,,,,,,,,,True,,,
88,Hands-Science-Python-Machine-Learning,$39.99,2019-02-02,Data Science,https://www.amazon.com/Hands-Science-Python-Machine-Learning/dp/1787280748,9781787280748,978-1787280748,English,420 pages,"Packt Publishing - ebooks Account (July 31, 2017)",,,,,,,,
